,name,food_group,count
0,salt,baking goods,25071
1,onion,vegetables,15327
2,butter,milk and milk products,14302
3,sugar,baking goods,14033
4,garlic,herbs and spices,13699
5,egg,eggs,13202
6,flour,cereals and cereal products,12256
7,water,beverages,10184
8,black pepper,herbs and spices,8821
9,olive oil,fats and oils,8791
10,oil,fats and oils,7804
11,milk,milk and milk products,7711
12,cheese,milk and milk products,7497
13,chicken,animal foods,7407
14,vanilla,herbs and spices,6908
15,pepper,herbs and spices,6848
16,lemon,fruits,5794
17,tomato,vegetables,5703
18,brown sugar,baking goods,4905
19,cream,milk and milk products,4715
20,cinnamon,herbs and spices,4463
21,parsley,herbs and spices,4302
22,corn,cereals and cereal products,3814
23,baking powder,baking goods,3620
24,beef,animal foods,3411
25,carrot,vegetables,3388
26,celery,herbs and spices,3383
27,baking soda,baking goods,3192
28,bread,cereals and cereal products,3095
29,potato,vegetables,3054
30,parmesan,milk and milk products,3012
31,mushroom,vegetables,2868
32,rice,cereals and cereal products,2720
33,basil,herbs and spices,2715
34,sour cream,baking goods,2675
35,cheddar,milk and milk products,2661
36,chocolate,cocoa and cocoa products,2617
37,mustard,baking goods,2617
38,bean,vegetables,2561
39,cream cheese,milk and milk products,2538
40,thyme,herbs and spices,2497
41,oregano,herbs and spices,2453
42,ginger,herbs and spices,2431
43,margarine,fats and oils,2356
44,apple,fruits,2333
45,cumin,herbs and spices,2140
46,nutmeg,herbs and spices,2096
47,soy sauce,baking goods,2025
48,lime,fruits,1992
49,mayonnaise,baking goods,1982
50,cilantro,herbs and spices,1981
51,red pepper,vegetables,1966
52,orange,fruits,1941
53,vinegar,baking goods,1859
54,pork,animal foods,1856
55,honey,confectioneries,1826
56,paprika,herbs and spices,1788
57,bacon,animal foods,1767
58,chips,snack foods,1649
59,cayenne pepper,herbs and spices,1648
60,walnut,nuts,1634
61,chili,dishes,1632
62,pecan,nuts,1623
63,almond,nuts,1602
64,green bell pepper,vegetables,1575
65,worcestershire sauce,baking goods,1549
66,bay leaf,herbs and spices,1536
67,red bell pepper,vegetables,1447
68,wine vinegar,baking goods,1399
69,cake,confectioneries,1340
70,spinach,vegetables,1339
71,ham,animal foods,1337
72,white wine,beverages,1307
73,mozzarella,milk and milk products,1305
74,ling,aquatic foods,1279
75,wheat,cereals and cereal products,1228
76,coconut,fruits,1187
77,raisin,fruits,1153
78,shortening,fats and oils,1147
79,pasta,cereals and cereal products,1145
80,canola,herbs and spices,1113
81,sausage,dishes,1099
82,buttermilk,milk and milk products,1090
83,oat,cereals and cereal products,1080
84,yeast,baking goods,1080
85,rosemary,herbs and spices,1073
86,turkey,animal foods,1053
87,olive,vegetables,1013
88,peppers,vegetables,1012
89,shrimp,aquatic foods,1011
90,zucchini,vegetables,1006
91,pumpkin,vegetables,1005
92,sesame,herbs and spices,1003
93,meat,animal foods,1001
94,tortilla,cereals and cereal products,987
95,shallot,vegetables,981
96,tomato sauce,baking goods,976
97,pineapple,fruits,970
98,jalapeno,vegetables,962
99,cracker,snack foods,949
100,pea,vegetables,899
101,dill,herbs and spices,895
102,banana,fruits,894
103,onion powder,herbs and spices,881
104,cider vinegar,baking goods,870
105,broccoli,vegetables,865
106,pie,confectioneries,863
107,balsamic vinegar,baking goods,854
108,strawberry,fruits,850
109,yogurt,milk and milk products,845
110,cocoa powder,cocoa and cocoa products,838
111,steak,animal foods,835
112,cranberry,fruits,822
113,topping,baking goods,806
114,ketchup,baking goods,787
115,peanut butter,baking goods,786
116,ground clove,herbs and spices,736
117,cabbage,vegetables,732
118,cucumber,vegetables,727
119,scallion,vegetables,719
120,half-and-half,milk and milk products,711
121,mint,herbs and spices,702
122,sage,herbs and spices,690
123,peanut,nuts,679
124,squash,vegetables,674
125,allspice,herbs and spices,671
126,corn syrup,baking goods,653
127,noodle,cereals and cereal products,642
128,pudding,confectioneries,639
129,chives,herbs and spices,621
130,salsa,baking goods,606
131,sweet potato,vegetables,604
132,green bean,vegetables,604
133,lettuce,vegetables,599
134,cherry,fruits,598
135,coriander,herbs and spices,594
136,cornmeal,cereals and cereal products,583
137,evaporated milk,milk and milk products,581
138,monterey jack,milk and milk products,575
139,red wine,beverages,569
140,ricotta,milk and milk products,551
141,salmon,aquatic foods,548
142,avocado,vegetables,540
143,breadcrumb,cereals and cereal products,533
144,feta,milk and milk products,529
145,raspberry,fruits,527
146,hot sauce,baking goods,503
147,eel,aquatic foods,501
148,blueberry,fruits,498
149,salad dressing,baking goods,498
150,rum,beverages,494
151,sherry,beverages,485
152,grape,fruits,485
153,peach,fruits,484
154,condensed milk,milk and milk products,470
155,hot pepper sauce,baking goods,458
156,curry powder,herbs and spices,435
157,pie crust,baking goods,431
158,molasses,baking goods,429
159,maple syrup,baking goods,425
160,marshmallow,confectioneries,419
161,pear,fruits,407
162,eggplant,vegetables,399
163,green pepper,vegetables,387
164,swiss cheese,milk and milk products,384
165,nuts,nuts,375
166,plum tomato,vegetables,374
167,spaghetti,cereals and cereal products,365
168,macaroni,cereals and cereal products,365
169,gelatin,baking goods,364
170,turmeric,herbs and spices,364
171,ice cream,confectioneries,363
172,dough,cereals and cereal products,362
173,coffee,coffee and coffee products,355
174,artichoke,vegetables,354
175,cauliflower,vegetables,351
176,capers,herbs and spices,349
177,asparagus,vegetables,347
178,liqueur,beverages,344
179,cocoa,cocoa and cocoa products,340
180,tofu,baking goods,340
181,wine,beverages,334
182,hen,animal foods,333
183,leek,vegetables,330
184,vegetables,vegetables,326
185,taco,dishes,322
186,cherry tomato,vegetables,321
187,fennel,herbs and spices,318
188,cayenne,herbs and spices,316
189,beer,beverages,311
190,salad,dishes,308
191,pickle,vegetables,308
192,chuck,animal foods,298
193,apricot,fruits,296
194,butternut,vegetables,291
195,tarragon,herbs and spices,288
196,berry,fruits,283
197,lentil,vegetables,281
198,sirloin,animal foods,278
199,mango,fruits,277
200,clam,aquatic foods,270
201,yellow bell pepper,vegetables,269
202,lamb,animal foods,268
203,vodka,beverages,266
204,fish,aquatic foods,265
205,blue cheese,milk and milk products,261
206,marjoram,herbs and spices,260
207,chipotle,baking goods,259
208,spaghetti sauce,baking goods,250
209,brandy,beverages,248
210,romaine lettuce,vegetables,245
211,penne,cereals and cereal products,243
212,parmigiano-reggiano,milk and milk products,242
213,lasagna noodle,cereals and cereal products,240
214,pine nut,nuts,238
215,horseradish,herbs and spices,237
216,stuffing,baking goods,233
217,barbecue sauce,baking goods,231
218,milk chocolate,cocoa and cocoa products,229
219,pie filling,baking goods,226
220,cardamom,herbs and spices,225
221,date,fruits,222
222,chili sauce,baking goods,217
223,chestnut,nuts,215
224,pizza,dishes,214
225,shiitake,vegetables,205
226,celery stalk,vegetables,205
227,caramel,confectioneries,204
228,goat cheese,milk and milk products,204
229,tuna,aquatic foods,197
230,fish sauce,baking goods,196
231,mustard seed,herbs and spices,196
232,stew,dishes,193
233,chickpea,vegetables,193
234,romano cheese,milk and milk products,192
235,arugula,vegetables,189
236,provolone,milk and milk products,189
237,kale,vegetables,189
238,beet,vegetables,187
239,veal,animal foods,186
240,apple cider,beverages,186
241,sugar substitute,baking goods,186
242,scallop,aquatic foods,183
243,egg substitute,baking goods,183
244,sunflower,herbs and spices,182
245,biscuit,cereals and cereal products,180
246,barley,cereals and cereal products,177
247,relish,baking goods,174
248,quinoa,herbs and spices,174
249,hamburger,dishes,171
250,poppy,herbs and spices,171
251,prosciutto,animal foods,169
252,pistachio,nuts,163
253,tilapia,aquatic foods,162
254,tabasco,baking goods,162
255,cajun,herbs and spices,160
256,lard,fats and oils,159
257,anchovy,aquatic foods,157
258,cod,aquatic foods,154
259,cooking oil,baking goods,154
260,gruyere,milk and milk products,150
261,caraway,herbs and spices,150
262,curry,herbs and spices,149
263,cocktail,beverages,149
264,bourbon,beverages,147
265,spread,baking goods,146
266,blackberry,fruits,144
267,pretzel,snack foods,141
268,pectin,baking goods,137
269,liquid smoke,baking goods,136
270,enchilada sauce,baking goods,136
271,cashew,nuts,135
272,radish,vegetables,134
273,oyster,aquatic foods,134
274,lemonade,beverages,133
275,linguine,cereals and cereal products,132
276,crab,aquatic foods,132
277,parsnip,vegetables,131
278,hoisin sauce,baking goods,130
279,lobster,aquatic foods,129
280,pepperoni,animal foods,128
281,pesto,baking goods,127
282,pasta sauce,baking goods,126
283,sourdough,cereals and cereal products,125
284,pancetta,animal foods,124
285,marinara sauce,baking goods,123
286,couscous,dishes,123
287,processed cheese,milk and milk products,121
288,tahini,cereals and cereal products,121
289,masala,herbs and spices,120
290,tea,vegetables,119
291,saffron,herbs and spices,119
292,icing,confectioneries,118
293,turnip,herbs and spices,118
294,crouton,cereals and cereal products,117
295,tequila,beverages,117
296,wild rice,cereals and cereal products,116
297,peppermint,herbs and spices,114
298,cornbread,cereals and cereal products,113
299,jelly,confectioneries,113
300,hazelnut,nuts,112
301,champagne,beverages,112
302,mascarpone,milk and milk products,110
303,chili pepper,herbs and spices,109
304,teriyaki,baking goods,107
305,soy milk,baking goods,107
306,plum,fruits,107
307,okra,vegetables,105
308,barbeque sauce,baking goods,102
309,dark chocolate,cocoa and cocoa products,98
310,popcorn,snack foods,95
311,lima bean,vegetables,93
312,fig,fruits,93
313,rhubarb,vegetables,93
314,oyster sauce,baking goods,92
315,red pepper sauce,baking goods,92
316,adobo sauce,baking goods,91
317,napa cabbage,vegetables,89
318,wheat bread,cereals and cereal products,88
319,watercress,herbs and spices,88
320,adobo,baking goods,88
321,mussel,aquatic foods,88
322,gorgonzola,milk and milk products,86
323,pecorino romano,milk and milk products,85
324,whiskey,beverages,84
325,salami,animal foods,84
326,pomegranate,fruits,83
327,orzo,cereals and cereal products,83
328,fettuccine,cereals and cereal products,83
329,pita bread,cereals and cereal products,82
330,halibut,aquatic foods,82
331,rye,cereals and cereal products,82
332,dripping,fats and oils,81
333,black-eyed pea,vegetables,80
334,fudge,confectioneries,80
335,triple sec,beverages,79
336,toffee,confectioneries,79
337,agave,vegetables,78
338,yam,vegetables,76
339,watermelon,vegetables,74
340,anise,herbs and spices,70
341,club soda,beverages,70
342,acorn,nuts,68
343,swiss chard,vegetables,68
344,vermouth,beverages,67
345,venison,animal foods,65
346,hot dog,dishes,65
347,hominy,cereals and cereal products,64
348,pizza sauce,baking goods,62
349,polenta,dishes,61
350,wonton wrapper,baking goods,61
351,brie,milk and milk products,60
352,tuna steak,aquatic foods,58
353,mayo,baking goods,58
354,kiwi,fruits,57
355,duck,animal foods,57
356,mace,herbs and spices,56
357,macadamia nut,nuts,56
358,snapper,aquatic foods,56
359,yellow pepper,vegetables,55
360,miso,baking goods,55
361,vegetable juice,beverages,54
362,guacamole,dishes,53
363,farfalle,cereals and cereal products,53
364,amaretto,beverages,53
365,cola,beverages,52
366,rye bread,cereals and cereal products,52
367,candy bar,confectioneries,51
368,sake,beverages,51
369,meatball,dishes,51
370,escarole,vegetables,51
371,phyllo dough,baking goods,51
372,gouda,milk and milk products,50
373,wasabi,herbs and spices,50
374,pancake,dishes,49
375,rigatoni,cereals and cereal products,48
376,picante sauce,baking goods,47
377,grand marnier,beverages,47
378,alfredo sauce,baking goods,46
379,baked beans,dishes,46
380,orange bell pepper,vegetables,46
381,endive,vegetables,46
382,papaya,fruits,45
383,jicama,vegetables,44
384,spelt,cereals and cereal products,44
385,rutabaga,vegetables,43
386,grapefruit,fruits,42
387,ravioli,dishes,42
388,gin,beverages,41
389,semolina,cereals and cereal products,41
390,star anise,herbs and spices,41
391,bulgur,cereals and cereal products,41
392,buckwheat,cereals and cereal products,41
393,chervil,herbs and spices,40
394,bamboo shoots,vegetables,39
395,flaxseed,herbs and spices,39
396,bass,aquatic foods,38
397,corn chip,snack foods,38
398,haddock,aquatic foods,38
399,mung bean,vegetables,37
400,savoy cabbage,vegetables,37
401,taco sauce,baking goods,37
402,nectarine,fruits,36
403,tater tots,dishes,36
404,citrus,fruits,35
405,arrowroot,vegetables,34
406,fusilli,cereals and cereal products,34
407,millet,cereals and cereal products,33
408,parmigiano,milk and milk products,33
409,persimmon,fruits,32
410,ghee,fats and oils,32
411,kirsch,beverages,32
412,cointreau,beverages,31
413,whey,milk and milk products,31
414,safflower,herbs and spices,31
415,truffle,vegetables,31
416,prawn,aquatic foods,30
417,mixed nuts,nuts,30
418,mahi mahi,aquatic foods,30
419,grenadine,beverages,30
420,squid,aquatic foods,30
421,mexican oregano,herbs and spices,30
422,catfish,aquatic foods,30
423,lemon grass,herbs and spices,29
424,sweet cherry,fruits,29
425,granola,confectioneries,29
426,tamarind,fruits,29
427,fruit juice,beverages,29
428,muenster,milk and milk products,28
429,celery leaves,herbs and spices,28
430,chanterelle,vegetables,28
431,hake,aquatic foods,27
432,pico de gallo,dishes,27
433,port wine,beverages,26
434,roquefort,milk and milk products,26
435,cheese sauce,baking goods,25
436,liquor,beverages,25
437,pastry sheet,confectioneries,25
438,buffalo wing sauce,baking goods,25
439,sour cherry,fruits,25
440,egg roll,dishes,24
441,albacore tuna,aquatic foods,24
442,rabbit,animal foods,23
443,grouper,aquatic foods,23
444,trout,aquatic foods,23
445,swordfish,aquatic foods,22
446,frozen yogurt,confectioneries,22
447,winter squash,vegetables,22
448,french fries,dishes,21
449,focaccia,cereals and cereal products,21
450,fruits,fruits,21
451,oat cereal,cereals and cereal products,20
452,candied citron,confectioneries,20
453,cornichon,vegetables,20
454,hummus,dishes,20
455,gnocchi,cereals and cereal products,20
456,bagel,cereals and cereal products,20
457,fenugreek,herbs and spices,19
458,lasagna,dishes,19
459,orecchiette,cereals and cereal products,19
460,manchego,milk and milk products,18
461,guava,fruits,18
462,fleur de sel,baking goods,18
463,sprite,beverages,17
464,custard,confectioneries,17
465,daikon radish,vegetables,17
466,blue crab,aquatic foods,16
467,tangerine,fruits,16
468,croissant,cereals and cereal products,16
469,pink salmon,aquatic foods,16
470,meatloaf,dishes,16
471,waffle,dishes,16
472,sorghum,cereals and cereal products,16
473,meringue,confectioneries,16
474,seaweed,aquatic foods,16
475,oyster mushroom,vegetables,15
476,tamale,dishes,15
477,orange roughy,aquatic foods,15
478,natto,baking goods,14
479,summer savory,herbs and spices,14
480,dumpling,dishes,14
481,mortadella,animal foods,14
482,baked potato,dishes,14
483,buffalo,animal foods,14
484,alfalfa,herbs and spices,14
485,soft drink,beverages,14
486,cashew nut,nuts,14
487,tostada,dishes,14
488,striped bass,aquatic foods,13
489,dulce de leche,confectioneries,13
490,asian pear,fruits,13
491,morel,vegetables,13
492,red raspberry,fruits,12
493,monkfish,aquatic foods,12
494,clementine,fruits,12
495,buffalo mozzarella,milk and milk products,12
496,carob,vegetables,12
497,burrito,dishes,12
498,fruit preserve,fruits,12
499,whitefish,aquatic foods,11
500,browning sauce,baking goods,11
501,passion fruit,fruits,11
502,kumquat,fruits,11
503,pigeon pea,vegetables,11
504,white cabbage,vegetables,11
505,raisin bread,cereals and cereal products,11
506,madeira wine,beverages,10
507,kohlrabi,vegetables,10
508,remoulade,baking goods,10
509,dungeness crab,aquatic foods,10
510,whisky,beverages,10
511,spearmint,herbs and spices,9
512,havarti,milk and milk products,9
513,caviar,aquatic foods,9
514,multigrain bread,cereals and cereal products,9
515,pate,dishes,9
516,chinese cabbage,vegetables,9
517,chayote,vegetables,9
518,roe,aquatic foods,9
519,red rice,cereals and cereal products,9
520,sardine,aquatic foods,9
521,gooseberry,fruits,9
522,black walnut,nuts,9
523,goose,animal foods,9
524,conch,aquatic foods,9
525,bechamel,baking goods,9
526,gelatin dessert,confectioneries,9
527,taro,vegetables,8
528,marzipan,confectioneries,8
529,adzuki bean,vegetables,8
530,bucatini,cereals and cereal products,8
531,brazil nut,nuts,8
532,chinese broccoli,vegetables,8
533,epazote,herbs and spices,8
534,bison,animal foods,8
535,chia,herbs and spices,8
536,hot chocolate,cocoa and cocoa products,8
537,amaranth,herbs and spices,8
538,celeriac,vegetables,8
539,capellini,cereals and cereal products,8
540,agar,aquatic foods,7
541,elk,animal foods,7
542,ice cream cone,baking goods,7
543,lemon thyme,herbs and spices,7
544,kelp,aquatic foods,7
545,kefir,milk and milk products,7
546,pappardelle,cereals and cereal products,7
547,chicory,vegetables,7
548,bonito,aquatic foods,7
549,quail,animal foods,7
550,huckleberry,fruits,7
551,ice tea,beverages,6
552,octopus,aquatic foods,6
553,yellow zucchini,vegetables,6
554,pheasant,animal foods,6
555,deer,animal foods,6
556,perch,aquatic foods,6
557,shark,aquatic foods,6
558,dandelion,herbs and spices,6
559,bluefish,aquatic foods,6
560,yellow wax bean,vegetables,6
561,yellowfin tuna,aquatic foods,6
562,cocoa butter,cocoa and cocoa products,6
563,emmentaler,milk and milk products,6
564,green zucchini,vegetables,6
565,snow crab,aquatic foods,6
566,soy yogurt,baking goods,6
567,pollock,aquatic foods,5
568,sorrel,herbs and spices,5
569,courgette,vegetables,5
570,soy bean,vegetables,5
571,wakame,aquatic foods,5
572,brussel sprouts,vegetables,5
573,jerusalem artichoke,vegetables,5
574,grana padano,milk and milk products,5
575,comte,milk and milk products,5
576,rainbow trout,aquatic foods,5
577,stilton,milk and milk products,5
578,edam,milk and milk products,5
579,emmental,milk and milk products,5
580,pig,animal foods,5
581,herbs and spices,herbs and spices,4
582,quince,fruits,4
583,tagliatelle,cereals and cereal products,4
584,lingonberry,fruits,4
585,kombu,aquatic foods,4
586,milk substitute,baking goods,4
587,corn grits,cereals and cereal products,4
588,broad bean,vegetables,4
589,butter substitute,baking goods,4
590,smelt,aquatic foods,4
591,mutton,animal foods,3
592,nougat,confectioneries,3
593,white mustard,herbs and spices,3
594,lemon sole,aquatic foods,3
595,pot pie,dishes,3
596,chokecherry,fruits,3
597,veggie burger,dishes,3
598,crayfish,aquatic foods,3
599,sheep,animal foods,3
600,macaroni and cheese,dishes,3
601,atlantic salmon,aquatic foods,3
602,fireweed,herbs and spices,3
603,boysenberry,fruits,3
604,moose,animal foods,3
605,lotus,herbs and spices,3
606,herring,aquatic foods,3
607,whiting,aquatic foods,2
608,chocolate spread,confectioneries,2
609,hushpuppy,dishes,2
610,lemon balm,herbs and spices,2
611,nopal,vegetables,2
612,star fruit,fruits,2
613,hard wheat,cereals and cereal products,2
614,chinese mustard,vegetables,2
615,enchilada,dishes,2
616,pacific cod,aquatic foods,2
617,burdock,vegetables,2
618,orange pepper,vegetables,2
619,elderberry,fruits,2
620,hibiscus tea,vegetables,2
621,pacific halibut,aquatic foods,2
622,root vegetables,vegetables,2
623,irish moss,aquatic foods,2
624,lovage,herbs and spices,2
625,walleye,aquatic foods,2
626,swede,vegetables,2
627,antelope,animal foods,2
628,purslane,herbs and spices,2
629,turbot,aquatic foods,2
630,arepa,dishes,2
631,aubergine,vegetables,2
632,borage,herbs and spices,2
633,energy drink,beverages,2
634,chewing gum,confectioneries,2
635,carp,aquatic foods,2
636,chocolate mousse,confectioneries,2
637,prickly pear,fruits,2
638,casein,milk and milk products,2
639,quesadilla,dishes,2
640,teff,herbs and spices,2
641,camembert,milk and milk products,2
642,sturgeon,aquatic foods,1
643,zwieback,cereals and cereal products,1
644,rooster,animal foods,1
645,chinese cinnamon,herbs and spices,1
646,junket,confectioneries,1
647,winter savory,herbs and spices,1
648,coho salmon,aquatic foods,1
649,salsify,vegetables,1
650,yardlong bean,vegetables,1
651,jackfruit,fruits,1
652,potato gratin,dishes,1
653,hickory nut,nuts,1
654,fishes,aquatic foods,1
655,chum salmon,aquatic foods,1
656,sablefish,aquatic foods,1
657,breakfast cereal,cereals and cereal products,1
658,cardoon,vegetables,1
659,japanese pumpkin,vegetables,1
660,salmonberry,fruits,1
661,sockeye salmon,aquatic foods,1
662,cassava,vegetables,1
663,triticale,cereals and cereal products,1
664,gefilte fish,dishes,1
665,chinook salmon,aquatic foods,1
666,tallow,fats and oils,1
667,muscadine grape,fruits,1
668,sweet orange,fruits,1
669,milkshake,confectioneries,1
670,rape,vegetables,1
671,conchiglie,cereals and cereal products,1
672,pecan nut,nuts,1
673,dab,aquatic foods,1
674,potato bread,cereals and cereal products,1
675,empanada,dishes,1
676,lemon verbena,herbs and spices,1
677,yautia,vegetables,1
678,beaver,animal foods,1
679,corn salad,vegetables,1
680,french toast,cereals and cereal products,1
681,trail mix,snack foods,1
682,spirit,beverages,1
683,black radish,vegetables,1
684,ceylon cinnamon,herbs and spices,1
685,spirulina,aquatic foods,1
686,jellyfish,aquatic foods,1
687,mallard duck,animal foods,1
688,arrowhead,vegetables,1
689,snail,aquatic foods,1
690,opossum,animal foods,1
691,black raspberry,fruits,1
692,garden tomato,vegetables,1
